acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.696,0.85,0.666666666666667,0.965714285714286,0.314413702239789,0.758333333333333,0.0433589667773576,0.335410196624968,0.0168358757425368,0.0766651877999928,0.101458240967211,0.161132612530368,0.72,0.7,0.72,0.72,0.62,100,16,0.00001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.74,0.975,0.695238095238095,0.993333333333333,0.378917748917749,0.835119047619048,0.02,0.0559016994374947,0.0199204768222399,0.0149071198499986,0.0221518582036283,0.0309008270295653,0.74,0.72,0.76,0.72,0.76,100,16,0.00001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.772,0.875,0.752380952380952,0.971008704557092,0.406243416026698,0.813690476190476,0.0414728827066555,0.125,0.0597614304667197,0.0282393012686759,0.0445074944268437,0.0506652177111111,0.72,0.78,0.82,0.74,0.8,100,16,0.001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.796,0.925,0.771428571428571,0.983625730994152,0.451298701298701,0.848214285714286,0.0669328021227261,0.111803398874989,0.0900365257199478,0.0246898617924966,0.0907672569102241,0.0474326709836584,0.72,0.88,0.84,0.74,0.8,100,16,0.001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.712,0.975,0.661904761904762,0.993103448275862,0.354413702239789,0.818452380952381,0.0109544511501033,0.0559016994374947,0.010647942749999,0.0154211584655158,0.0136285644700772,0.0271143856522152,0.7,0.7,0.72,0.72,0.72,100,16,0.0001,0.01,5,
