id,bg,bg_trunk
757,117866.7664,62147.13139023437
743,108852.6505,41231.2893961597
794,87192.20458,29025.819200208745
780,105556.4623,46925.96585928817
233,96439.46114,34524.35417588867
555,116091.8168,47032.72395118502
541,113695.1256,46760.416051049804
227,93749.33767,41206.625177900365
569,112459.6617,48156.7432379123
596,83163.03144,22322.54807589478
582,108388.494,27010.540962738043
583,90840.44548,28540.25087422209
597,146123.5596,60191.9678183838
568,98098.45943,38070.50345160645
540,139869.8355,37288.37115216063
226,112594.3966,36691.7162524398
232,97109.76123,43545.53344679688
554,93921.771,44019.95630273437
781,133343.0276,31891.89820546875
795,110045.2935,33687.823041015625
742,100994.888,55419.55054489688
756,149915.1006,76740.20289492188
3,160701.8359,38675.253868750005
51,104739.1665,39098.34685507203
811,116466.2084,36297.17800449219
45,100860.8251,42857.62481313477
805,86001.15691,28432.973110256353
193,101167.7256,34880.343764062505
79,117283.4759,40105.90705615845
839,111615.1714,54572.744337011725
187,99526.19873,55298.990233906254
92,103654.8105,43244.70112500001
86,101411.7568,34684.2455958277
178,90061.32813,39301.953129999994
150,110563.7455,56512.9756940918
636,134016.7445,71639.83661414863
622,129784.4179,41783.08369619255
144,92905.86975,32486.08554017209
391,110939.9223,27584.743466992193
385,140458.9522,70163.5750981018
408,108306.8196,43700.74397744141
434,79877.17979,35722.681228140864
352,92563.67188,26649.609379999994
346,110987.3022,33153.41237990113
420,116107.251,50671.96657617188
350,89545.90308,28034.28296196025
436,85214.47217,30576.030400176
422,85887.63007,33364.738224296874
344,81626.01471,34179.84008841797
378,93230.85938,46544.921879999994
393,112781.7042,39130.56197622586
387,114667.5219,62302.77132909512
634,93250.0,23742.1875
152,82340.80849,28948.594763956295
146,132690.6197,57885.532068774424
620,143480.2664,38879.66972031249
608,127844.6149,41790.65457285156
90,86377.53796,32602.530380196535
84,120549.2292,38232.72231601307
191,105967.3922,46192.356036669924
185,126923.5764,63702.70437546387
813,106791.9658,40511.55661426726
53,81135.07614,21697.92306397794
1,83346.74835,35907.783506249994
807,96806.21883,52823.119644056394
47,97666.26128,40874.6869773359
740,117438.081,47595.01385751343
754,119878.418,45023.12625195313
768,88047.50118,42511.211297340094
783,119757.2931,59096.07373915486
797,112830.1745,38249.71505786132
224,89253.06449,39901.735304514164
542,96816.79742,27759.309077714846
556,122196.8172,62081.24482756348
230,96206.55371,41407.00461866088
218,99828.04642,41103.36914338867
581,75013.5273,43951.15585529785
595,108706.0191,36061.00623153456
594,129585.4881,47676.81631164532
